date,time,currency,event,impact,actual,forecast,previous
2022-01-28,3:00am,EUR,German Prelim GDP q/q,Medium,-0.3%,1.7%,
2022-01-28,3:00am,EUR,Private Loans y/y,Medium,4.2%,4.2%,
2022-01-28,4:20am,EUR,Italian 10-y Bond Auction,Medium,,1.02|1.5,
2022-01-28,7:30am,USD,Core PCE Price Index m/m,High,0.5%,0.5%,
2022-01-28,7:30am,USD,Employment Cost Index q/q,Medium,1.2%,1.3%,
2022-01-28,7:30am,USD,Personal Income m/m,Medium,0.5%,0.5%,
2022-01-28,7:30am,USD,Personal Spending m/m,Medium,-0.6%,0.4%,
2022-01-28,9:00am,USD,Revised UoM Consumer Sentiment,Low,68.8,68.8,
2022-01-28,9:00am,USD,Revised UoM Inflation Expectations,Medium,,4.9%,
2022-01-30,SunJan 30,JPY,Retail Sales y/y,Medium,2.9%,1.9%,
2022-01-30,11:00pm,JPY,Housing Starts y/y,Medium,8.2%,3.7%,
2022-01-30,11:02pm,JPY,Consumer Confidence,Medium,36.9,39.1,
2022-01-31,2:00am,EUR,Spanish Flash CPI y/y,Medium,5.3%,6.5%,
2022-01-31,4:00am,EUR,Prelim Flash GDP q/q,Medium,0.4%,2.3%,
2022-01-31,4:00am,EUR,Italian Prelim GDP q/q,Medium,0.5%,2.6%,
2022-01-31,8:45am,USD,Chicago PMI,Low,61.7,63.1,
2022-01-31,11:40am,USD,FOMC Member George Speaks,Low,,,
2022-01-31,1:00pm,USD,Loan Officer Survey,Medium,,,
2022-01-31,5:30pm,JPY,Unemployment Rate,Medium,2.8%,2.8%,
2022-01-31,6:30pm,JPY,Final Manufacturing PMI,Medium,54.6,54.6,
2022-01-31,9:35pm,JPY,10-y Bond Auction,Medium,,0.10|3.5,
2022-02-01,TueFeb 1,GBP,Nationwide HPI m/m,Medium,0.7%,1.1%,
2022-02-01,1:30am,CHF,Retail Sales y/y,Medium,5.5%,5.3%,
2022-02-01,1:45am,EUR,French Prelim CPI m/m,Medium,-0.2%,0.2%,
2022-02-01,2:00am,CHF,SECO Consumer Climate,Medium,3,4,
2022-02-01,2:15am,EUR,Spanish Manufacturing PMI,Medium,56.1,56.2,
2022-02-01,2:30am,CHF,Manufacturing PMI,Medium,63.9,62.7,
2022-02-01,2:45am,EUR,Italian Manufacturing PMI,Medium,61.2,62.0,
2022-02-01,2:50am,EUR,French Final Manufacturing PMI,Medium,55.5,55.5,
2022-02-01,2:55am,EUR,German Final Manufacturing PMI,Medium,60.5,60.5,
2022-02-01,2:55am,EUR,German Unemployment Change,Medium,-4K,-29K,
2022-02-01,3:00am,EUR,Final Manufacturing PMI,Medium,59.0,59.0,
2022-02-01,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,9.2%,9.1%,
2022-02-01,3:30am,GBP,Final Manufacturing PMI,Medium,56.9,56.9,
2022-02-01,3:30am,GBP,M4 Money Supply m/m,Medium,0.8%,0.7%,
2022-02-01,3:30am,GBP,Mortgage Approvals,Medium,66K,68K,
2022-02-01,3:30am,GBP,Net Lending to Individuals m/m,Medium,4.0B,4.8B,
2022-02-01,4:00am,EUR,Unemployment Rate,Medium,7.1%,7.1%,
2022-02-01,8:45am,USD,Final Manufacturing PMI,Medium,55.0,55.0,
2022-02-01,9:00am,USD,ISM Manufacturing PMI,High,57.4,58.7,
2022-02-01,9:00am,USD,JOLTS Job Openings,High,10.35M,10.78M,
2022-02-01,9:00am,USD,Construction Spending m/m,Medium,0.7%,0.6%,
2022-02-01,9:00am,USD,ISM Manufacturing Prices,Medium,67.6,68.2,
2022-02-01,All Day,USD,Wards Total Vehicle Sales,Medium,13.0M,12.4M,
2022-02-01,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2022-02-01,5:50pm,JPY,Monetary Base y/y,Medium,8.5%,8.3%,
2022-02-01,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,0.8%,
2022-02-02,2:00am,EUR,Spanish Unemployment Change,Low,-50.7K,-76.8K,
2022-02-02,4:00am,EUR,Core CPI Flash Estimate y/y,Medium,1.9%,2.6%,
2022-02-02,4:00am,EUR,CPI Flash Estimate y/y,Medium,4.4%,5.0%,
2022-02-02,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.5%,0.4%,
2022-02-02,7:15am,USD,ADP Non-Farm Employment Change,High,185K,776K,
2022-02-02,9:30am,USD,Crude Oil Inventories,Low,1.8M,2.4M,
2022-02-02,9:35pm,JPY,30-y Bond Auction,Medium,,0.72|3.6,
2022-02-03,2:45am,EUR,Italian Services PMI,Medium,50.0,53.0,
2022-02-03,2:50am,EUR,French Final Services PMI,Medium,53.1,53.1,
2022-02-03,2:55am,EUR,German Final Services PMI,Medium,52.2,52.2,
2022-02-03,3:00am,EUR,Final Services PMI,Medium,51.2,51.2,
2022-02-03,3:30am,GBP,Final Services PMI,Medium,53.3,53.3,
2022-02-03,3:48am,EUR,Spanish 10-y Bond Auction,Medium,,0.43|1.9,
2022-02-03,4:00am,EUR,PPI m/m,Medium,2.9%,1.8%,
2022-02-03,4:06am,EUR,French 10-y Bond Auction,Medium,,0.30|2.1,
2022-02-03,6:00am,GBP,Asset Purchase Facility,High,875B,875B,
2022-02-03,6:00am,GBP,BOE Monetary Policy Report,High,,,
2022-02-03,6:00am,GBP,Monetary Policy Summary,High,,,
2022-02-03,6:00am,GBP,MPC Asset Purchase Facility Votes,High,0-0-9,0-0-9,
2022-02-03,6:00am,GBP,MPC Official Bank Rate Votes,High,7-0-2,8-0-1,
2022-02-03,6:00am,GBP,Official Bank Rate,High,0.50%,0.25%,
2022-02-03,6:30am,GBP,BOE Gov Bailey Speaks,High,,,
2022-02-03,6:30am,USD,Challenger Job Cuts y/y,Medium,,-75.3%,
2022-02-03,6:45am,EUR,Main Refinancing Rate,High,0.00%,0.00%,
2022-02-03,6:45am,EUR,Monetary Policy Statement,High,,,
2022-02-03,7:30am,EUR,ECB Press Conference,High,,,
2022-02-03,7:30am,USD,Unemployment Claims,Low,245K,261K,
2022-02-03,7:30am,USD,Prelim Nonfarm Productivity q/q,Medium,3.8%,-5.2%,
2022-02-03,7:30am,USD,Prelim Unit Labor Costs q/q,Medium,1.1%,9.6%,
2022-02-03,8:00am,USD,Fed Gov Nomination Hearings,High,,,
2022-02-03,8:45am,USD,Final Services PMI,Medium,50.9,50.9,
2022-02-03,9:00am,USD,ISM Services PMI,High,59.5,62.0,
2022-02-03,9:00am,USD,Factory Orders m/m,Medium,-0.4%,1.8%,
2022-02-03,9:30am,USD,Natural Gas Storage,Medium,-280B,-219B,
2022-02-04,1:45am,EUR,French Industrial Production m/m,Medium,0.5%,-0.5%,
2022-02-04,1:45am,EUR,French Prelim Private Payrolls q/q,Medium,0.4%,0.5%,
2022-02-04,3:30am,GBP,Construction PMI,Medium,54.3,54.3,
2022-02-04,4:00am,EUR,Retail Sales m/m,Medium,-1.0%,1.0%,
2022-02-04,6:15am,GBP,MPC Member Broadbent Speaks,Low,,,
2022-02-04,7:30am,USD,Average Hourly Earnings m/m,High,0.5%,0.5%,
2022-02-04,7:30am,USD,Non-Farm Employment Change,High,110K,510K,
2022-02-04,7:30am,USD,Unemployment Rate,High,3.9%,3.9%,
2022-02-04,9:45am,USD,President Biden Speaks,Medium,,,
2022-02-06,11:00pm,JPY,Leading Indicators,Medium,103.8%,103.2%,
2022-02-07,1:00am,EUR,German Industrial Production m/m,Medium,0.4%,0.3%,
2022-02-07,1:00am,GBP,Halifax HPI m/m,Medium,0.9%,1.1%,
2022-02-07,2:00am,CHF,Foreign Currency Reserves,Medium,,945B,
2022-02-07,3:30am,EUR,Sentix Investor Confidence,Medium,15.1,14.9,
2022-02-07,9:45am,EUR,ECB President Lagarde Speaks,Low,,,
2022-02-07,2:00pm,USD,Consumer Credit m/m,Medium,24.9B,38.8B,
2022-02-07,5:30pm,JPY,Average Cash Earnings y/y,Medium,0.9%,0.8%,
2022-02-07,5:30pm,JPY,Household Spending y/y,Medium,0.0%,-1.3%,
